item_code,eod_date,price_open,price_high,price_low,count_trade,price_close
5930,2016-01-13,22960,23320,22880,10314150,22920
5930,2016-01-12,23120,23320,22920,12063850,23040
5930,2016-01-11,23260,23720,23260,12888150,23420
5930,2016-01-08,23320,23660,23020,14119400,23260
5930,2016-01-07,24160,24160,23360,18337600,23500
5930,2016-01-06,24040,24360,23720,10800100,24160
5930,2016-01-05,25200,25200,24100,15346950,24100
5930,2016-01-04,25200,25440,25080,10197900,25200
5930,2015-12-30,25300,25320,24820,11647200,25080
5930,2015-12-29,25700,25780,25320,11361500,25320
5930,2015-12-28,25900,26000,25700,7807550,25700
5930,2015-12-24,25840,25980,25640,10357400,25900
5930,2015-12-23,25600,25840,25340,10309600,25840
5930,2015-12-22,25560,25700,25220,8023300,25600
5930,2015-12-21,25300,25760,25280,8418450,25560
5930,2015-12-18,26020,26160,25500,8733850,25800
5930,2015-12-17,25560,26200,25560,10398100,25980
5930,2015-12-16,25220,25600,25200,8774700,25540
5930,2015-12-15,25460,25460,25100,11140050,25220
5930,2015-12-14,25660,25900,25440,10336450,25680
5930,2015-12-11,25260,25860,25260,15193350,25660
5930,2015-12-10,25240,25500,25240,9090600,25260
5930,2015-12-09,25240,25440,25240,6916100,25240
5930,2015-12-08,25380,25500,25240,9805350,25240
5930,2015-12-07,25500,25600,25340,9635550,25380
5930,2015-12-04,25900,25940,25720,8334750,25800
5930,2015-12-03,26420,26440,25880,11481400,26000
5930,2015-12-02,25880,26440,25760,12605650,26420
5930,2015-12-01,26500,26500,25680,26700300,25680
5930,2015-11-30,26900,26980,26540,8492700,26540
5930,2015-11-27,25980,26800,25980,9290000,26700
5930,2015-11-26,26000,26200,25980,7131350,25980
5930,2015-11-25,25640,26100,25640,7978000,25980
5930,2015-11-24,25700,26040,25620,9941000,25640
5930,2015-11-23,25780,25920,25560,8436000,25700
5930,2015-11-20,25800,25800,25420,9642500,25780
5930,2015-11-19,25440,25800,25440,8386750,25620
5930,2015-11-18,25500,25800,25400,9309200,25400
5930,2015-11-17,25820,25820,25260,13785250,25260
5930,2015-11-16,26340,26340,26000,8883850,26000
5930,2015-11-13,26660,26680,26340,7870850,26340
5930,2015-11-12,26420,26900,26420,7022450,26660
5930,2015-11-11,26720,26820,26280,9877550,26420
5930,2015-11-10,26760,26880,26420,9283050,26880
5930,2015-11-09,26860,26960,26600,8216100,26760
5930,2015-11-06,26600,27080,26600,8652100,26840
5930,2015-11-05,27040,27220,26520,14053500,26600
5930,2015-11-04,27620,27620,27000,15092000,27040
5930,2015-11-03,27700,27860,27480,19327300,27660
5930,2015-11-02,26900,27800,26820,25469250,27440
5930,2015-10-30,26600,27840,26480,31523550,26500
5930,2015-10-29,25880,26160,25820,13565150,26160
5930,2015-10-28,25640,25980,25620,6612050,25960
5930,2015-10-27,25960,25960,25440,7608250,25840
5930,2015-10-26,26000,26000,25560,13153550,25780
5930,2015-10-23,25600,25900,25380,11533650,25600
5930,2015-10-22,25300,25640,25180,6978350,25400
5930,2015-10-21,25200,25460,25120,7517350,25320
5930,2015-10-20,25140,25300,24980,5853500,25120
5930,2015-10-19,25300,25380,25180,7198400,25300
5930,2015-10-16,24880,25640,24860,12425150,25380
5930,2015-10-15,24960,25200,24740,8752550,25080
5930,2015-10-14,25200,25440,24960,9900000,25040
5930,2015-10-13,25200,25260,24940,18948700,25200
5930,2015-10-12,25000,25580,25000,28533850,25400
5930,2015-10-08,23960,25040,23720,39975100,25020
5930,2015-10-07,22600,23100,22540,19149350,23020
5930,2015-10-06,22380,22620,22300,12096750,22300
5930,2015-10-05,22240,22660,22240,13715100,22380
5930,2015-10-02,22800,22900,22420,12052050,22680
5930,2015-10-01,22000,22680,21800,22946800,22680
5930,2015-09-30,22400,22500,22180,10458000,22240
5930,2015-09-25,22520,22700,22500,6636050,22520
5930,2015-09-24,22880,22880,22500,9882450,22620
5930,2015-09-23,22860,23000,22600,12533750,22900
5930,2015-09-22,23260,23460,23000,10267950,23000
5930,2015-09-21,22900,23840,22700,21813500,23800
5930,2015-09-18,23060,23140,22880,13698000,23140
5930,2015-09-17,22420,23140,22420,17188150,23040
5930,2015-09-16,22280,22560,22260,11647800,22460
5930,2015-09-15,22400,22480,22200,8353650,22480
5930,2015-09-14,22520,22660,22300,10208350,22300
5930,2015-09-11,22600,22780,22360,18128400,22680
5930,2015-09-10,22920,22940,22720,12968800,22940
5930,2015-09-09,22260,22720,22120,9116500,22620
5930,2015-09-08,22580,22580,22100,9590250,22240
5930,2015-09-07,22880,22880,22360,12586700,22580
5930,2015-09-04,22040,22460,21860,15257100,22440
5930,2015-09-03,21380,21900,21300,15634150,21800
5930,2015-09-02,21780,21960,21620,12018600,21700
5930,2015-09-01,21420,21780,21040,20415450,21780
5930,2015-08-31,21720,21720,21460,23111150,21620
5930,2015-08-28,21640,21720,21260,24769400,21340
5930,2015-08-27,21360,21480,21000,27947600,21340
5930,2015-08-26,21580,22140,21340,19625950,21580
5930,2015-08-25,21760,22300,20660,22429600,21580
5930,2015-08-24,21980,22560,21920,20442550,22020
5930,2015-08-21,23260,23420,22600,10805950,22780
5930,2015-08-20,23380,23520,22820,20070750,23080
5930,2015-08-19,22360,22820,22340,11583600,22620
5930,2015-08-18,22800,22820,22080,11360850,22080
5930,2015-08-17,23060,23060,22760,7520550,22800
5930,2015-08-13,23000,23280,22800,11154000,23080
5930,2015-08-12,23020,23580,22960,11664300,23140
5930,2015-08-11,22800,22840,22600,5722500,22820
5930,2015-08-10,22400,22740,22300,13787100,22720
5930,2015-08-07,23100,23120,22300,20199050,22300
5930,2015-08-06,23640,23640,23160,12802500,23180
